epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3022,2.63838,8.40955,0.98437,0.00138,0.25,0.00105,0.00019,1.72666,5.13086,0.84248,0.000546249,0.000546249,0.000546249
2,38.2477,1.92792,4.46674,0.85215,0.52085,0.78184,0.49594,0.30637,1.82148,5.76747,0.85277,0.00108828,0.00108828,0.00108828
3,49.8625,1.92226,3.4008,0.85598,0.93874,0.925,0.96852,0.59141,1.60831,1.31312,0.84092,0.00161656,0.00161656,0.00161656
4,64.0427,1.85483,2.37066,0.85852,0.95272,0.96278,0.96174,0.50912,1.95636,0.8407,0.86148,0.00160511,0.00160511,0.00160511
5,75.7129,1.74048,1.74518,0.84502,0.96432,0.94167,0.97087,0.48176,1.88682,0.85563,0.84412,0.00158448,0.00158448,0.00158448
6,87.4789,1.65378,1.40481,0.84037,0.84943,0.93766,0.97459,0.55678,1.65088,0.9363,0.83905,0.00156385,0.00156385,0.00156385
7,98.8467,1.72895,1.18713,0.85154,0.97856,0.98333,0.98322,0.61314,1.59392,0.76817,0.84122,0.00154323,0.00154323,0.00154323
8,110.145,1.67009,1.02306,0.84893,0.96762,0.96441,0.96615,0.56764,1.68018,0.60434,0.84032,0.0015226,0.0015226,0.0015226
9,121.368,1.67791,0.96334,0.83242,0.96878,0.98146,0.97678,0.52189,1.79086,0.77203,0.84846,0.00150197,0.00150197,0.00150197
10,132.517,1.63232,0.8577,0.84964,0.96508,0.96667,0.95942,0.51161,1.81173,0.84632,0.84422,0.00148134,0.00148134,0.00148134
11,143.665,1.63849,0.79702,0.85501,0.95493,0.95833,0.94733,0.52983,1.66213,0.78674,0.83494,0.00146071,0.00146071,0.00146071
12,154.831,1.63468,0.77603,0.84739,0.96492,0.94885,0.95037,0.62466,1.39494,0.64395,0.81972,0.00144008,0.00144008,0.00144008
13,165.965,1.61355,0.77453,0.83453,0.99857,1,0.995,0.63064,1.40952,0.65811,0.81645,0.00141945,0.00141945,0.00141945
14,177.16,1.57787,0.73148,0.82971,0.98755,0.99095,0.98777,0.61338,1.45459,0.62779,0.83002,0.00139882,0.00139882,0.00139882
15,188.299,1.65642,0.73843,0.83575,0.96434,0.96667,0.96681,0.57034,1.5383,0.67124,0.83281,0.00137819,0.00137819,0.00137819
16,199.463,1.6069,0.69475,0.84512,0.98469,0.99667,0.995,0.56885,1.63186,0.64558,0.83682,0.00135756,0.00135756,0.00135756
17,210.593,1.57554,0.69024,0.83861,0.98448,0.99498,0.995,0.60367,1.49536,0.64486,0.82348,0.00133693,0.00133693,0.00133693
18,221.74,1.46708,0.64336,0.82867,0.9898,0.99844,0.995,0.5657,1.59947,0.62935,0.84252,0.0013163,0.0013163,0.0013163
